ID,Age,Gender,Income,Education,Region
860,23,Male,112392,Bachelors,West
861,76,Other,27696,PhD,East
862,22,Other,87845,Bachelors,North
863,35,Other,72776,PhD,East
864,23,Other,127959,Bachelors,East
865,48,Other,68029,High School,West
866,42,Other,103637,PhD,West
867,21,Female,44854,PhD,West
868,23,Female,81797,Masters,West
869,58,Male,104503,Masters,South
870,54,Other,28443,High School,East
871,76,Female,23962,Bachelors,South
872,67,Male,29124,Masters,North
873,73,Male,44299,High School,East
874,42,Male,130779,High School,South
875,51,Male,129602,Bachelors,South
876,36,Female,59878,Bachelors,West
877,51,Female,42918,PhD,West
878,32,Female,53112,PhD,South
879,67,Male,78956,High School,East
880,25,Male,123441,High School,North
881,71,Other,83071,High School,East
882,61,Other,128080,PhD,West
883,64,Male,138565,Masters,North
884,66,Female,133664,Bachelors,South
885,70,Male,121834,High School,East
886,51,Other,92305,PhD,South
887,35,Other,47500,PhD,North
888,47,Female,92708,Bachelors,South
889,30,Male,109695,Masters,South
890,72,Other,78300,High School,North
891,64,Female,54431,Bachelors,North
892,72,Other,43050,PhD,South
893,50,Female,24893,Masters,North
894,52,Other,82305,High School,East
895,69,Other,107913,PhD,East
896,41,Male,54032,PhD,North
897,78,Female,21549,Bachelors,West
898,43,Female,122675,PhD,East
899,64,Other,134729,High School,South
900,68,Male,148204,PhD,North
901,61,Other,125900,Bachelors,West
902,70,Other,67155,Bachelors,East
903,59,Other,45707,Masters,North
904,64,Female,145072,Masters,West
905,18,Male,138264,PhD,East
906,30,Other,114206,PhD,North
907,72,Other,63762,PhD,West
908,27,Other,89541,Masters,South
909,36,Female,128046,Masters,West
910,22,Other,37060,PhD,West
911,25,Female,133778,Masters,South
912,21,Female,98980,Bachelors,West
913,66,Female,126482,Masters,North
914,30,Female,118607,Bachelors,East
915,55,Female,128416,PhD,East
916,70,Male,97617,Bachelors,North
917,63,Female,72133,High School,East
918,66,Female,147230,PhD,East
919,63,Other,32747,Bachelors,North
920,36,Male,108876,Bachelors,West
921,69,Male,107621,Masters,East
922,67,Other,143240,Bachelors,South
923,25,Female,36878,Masters,East
924,44,Male,144688,Bachelors,West
925,67,Female,49968,Bachelors,North
926,64,Other,136490,Masters,North
927,47,Male,56357,High School,North
928,21,Female,92599,Bachelors,South
929,28,Male,109007,Bachelors,East
930,38,Male,46179,PhD,North
931,60,Female,60102,Masters,West
932,19,Female,125456,Masters,North
933,73,Male,128818,High School,North
934,38,Other,26238,PhD,East
935,34,Male,142320,High School,East
936,60,Other,66879,High School,East
937,68,Male,83914,Bachelors,West
938,46,Female,149071,Bachelors,East
939,44,Other,60213,Masters,East
940,41,Other,57857,PhD,East
941,70,Male,137815,Masters,North
942,66,Male,119658,PhD,West
943,20,Other,95884,Masters,South
944,56,Female,45631,High School,West
945,27,Other,36979,High School,North
946,20,Other,51810,High School,South
947,70,Female,122547,Bachelors,West
948,62,Female,96959,PhD,North
949,59,Male,85394,PhD,North
950,43,Male,39219,Bachelors,South
951,78,Male,121159,PhD,North
952,71,Female,140743,Masters,South
953,54,Other,51293,High School,West
954,44,Female,20609,Bachelors,South
955,22,Male,97740,High School,South
956,59,Other,96020,PhD,North
957,28,Male,32012,Bachelors,East
958,30,Other,135126,PhD,North
959,58,Female,97534,High School,North
960,51,Male,144026,PhD,West
961,55,Female,34823,Bachelors,South
962,57,Female,91870,PhD,West
963,50,Female,91884,Bachelors,West
964,76,Other,65968,Bachelors,South
965,51,Female,52848,Bachelors,West
966,44,Female,22558,Masters,East
967,53,Other,29350,PhD,South
968,43,Female,50148,PhD,West
969,68,Female,106829,High School,East
970,42,Female,133620,Bachelors,North
971,36,Other,108570,Bachelors,South
972,38,Other,62654,High School,North
973,48,Male,65644,PhD,West
974,46,Female,95643,PhD,East
975,26,Other,24789,PhD,East
976,36,Female,48065,Bachelors,East
977,43,Other,118906,Bachelors,North
978,42,Other,91058,High School,East
979,57,Other,137894,Masters,East
980,60,Male,28824,Masters,North
981,77,Female,123554,Bachelors,North
982,46,Other,39610,PhD,East
983,42,Female,26382,PhD,West
984,36,Other,98105,Masters,West
985,21,Female,79917,PhD,South
986,62,Female,50655,Masters,East
987,37,Other,104699,Bachelors,South
988,63,Female,39006,Bachelors,North
989,72,Male,105049,PhD,North
990,18,Male,120645,PhD,North
991,28,Female,139725,Masters,North
992,21,Female,89013,PhD,West
993,24,Other,20107,Bachelors,North
994,45,Other,94232,PhD,North
995,53,Female,90469,PhD,West
996,75,Female,123417,PhD,North
997,24,Female,79185,Bachelors,South
998,37,Female,57913,PhD,East
999,52,Male,69420,Masters,East
1000,68,Female,134228,High School,North
